Id,Label,kingdom,phylum,class,order,family,genus,species,category,taxon,aggregate
Haemorhous mexicanus,,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Haemorhous,Haemorhous mexicanus,vert.endo,Bird,Haemorhous mexicanus
Icteria virens,,Animalia,Chordata,Aves,Passeriformes,Parulidae,Icteria,Icteria virens,vert.endo,Bird,Icteria virens
Icterus bullockii,,Animalia,Chordata,Aves,Passeriformes,Icteridae,Icterus,Icterus bullockii,vert.endo,Bird,Icterus bullockii
Icterus cucullatus,,Animalia,Chordata,Aves,Passeriformes,Icteridae,Icterus,Icterus cucullatus,vert.endo,Bird,Icterus cucullatus
Icterus parisorum,,Animalia,Chordata,Aves,Passeriformes,Icteridae,Icterus,Icterus parisorum,vert.endo,Bird,Icterus parisorum
Junco hyemalis,,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Junco,Junco hyemalis,vert.endo,Bird,Junco hyemalis
Loxia curvirostra,,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Loxia,Loxia curvirostra,vert.endo,Bird,Loxia curvirostra
Melospiza melodia,,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Melospiza,Melospiza melodia,vert.endo,Bird,Melospiza melodia
Melozone aberti,,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Melozone,Melozone aberti,vert.endo,Bird,Melozone aberti
Melozone crissalis,,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Melozone,Melozone crissalis,vert.endo,Bird,Melozone crissalis
Mimus polyglottos,,Animalia,Chordata,Aves,Passeriformes,Mimidae,Mimus,Mimus polyglottos,vert.endo,Bird,Mimus polyglottos
Molothrus ater,,Animalia,Chordata,Aves,Passeriformes,Icteridae,Molothrus,Molothrus ater,vert.endo,Bird,Molothrus ater
Myadestes townsendi,,Animalia,Chordata,Aves,Passeriformes,Turdidae,Myadestes,Myadestes townsendi,vert.endo,Bird,Myadestes townsendi
Myiarchus cinerascens,,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Myiarchus,Myiarchus cinerascens,vert.endo,Bird,Myiarchus cinerascens
