Source,Target,Type,Id,Label,Weight
Notiosorex crawfordi,Araneae,Directed,363,,1
Notiosorex crawfordi,Chilopoda,Directed,364,,1
Notiosorex crawfordi,Dermaptera,Directed,365,,1
Notiosorex crawfordi,Diplopoda,Directed,366,,1
Notiosorex crawfordi,Hymenoptera,Directed,367,,1
Notiosorex crawfordi,Hemiptera,Directed,368,,1
Notiosorex crawfordi,Lepidoptera,Directed,369,,1
Notiosorex crawfordi,Scorpiones,Directed,370,,1
Notiosorex crawfordi,Solifugae,Directed,371,,1
Parastrellus hesperus,Diptera,Directed,372,,1
Parastrellus hesperus,Lepidoptera,Directed,373,,1
Parastrellus hesperus,Hemiptera,Directed,374,,1
Parastrellus hesperus,Coleoptera,Directed,375,,1
Parastrellus hesperus,Hymenoptera,Directed,376,,1
Parastrellus hesperus,Ephemeroptera,Directed,377,,1
Parastrellus hesperus,Neuroptera,Directed,378,,1
Parastrellus hesperus,Orthoptera,Directed,379,,1
Parastrellus hesperus,Trichoptera,Directed,380,,1
Parastrellus hesperus,Diplopoda,Directed,381,,1
Corynorhinus townsendii,Diptera,Directed,382,,1
Corynorhinus townsendii,Lepidoptera,Directed,383,,1
Corynorhinus townsendii,Hemiptera,Directed,384,,1
Corynorhinus townsendii,Coleoptera,Directed,385,,1
Corynorhinus townsendii,Hymenoptera,Directed,386,,1
Corynorhinus townsendii,Ephemeroptera,Directed,387,,1
Corynorhinus townsendii,Collembola,Directed,388,,1
Aeorestes cinereus,Diptera,Directed,389,,1
Aeorestes cinereus,Lepidoptera,Directed,390,,1
Aeorestes cinereus,Hymenoptera,Directed,391,,1
Myotis ciliolabrum,Diptera,Directed,392,,1
Myotis ciliolabrum,Lepidoptera,Directed,393,,1
Myotis ciliolabrum,Hemiptera,Directed,394,,1
Myotis ciliolabrum,Coleoptera,Directed,395,,1
Myotis ciliolabrum,Hymenoptera,Directed,396,,1
Myotis ciliolabrum,Ephemeroptera,Directed,397,,1
Myotis ciliolabrum,Collembola,Directed,398,,1
Myotis ciliolabrum,Odonata,Directed,399,,1
Euderma maculatum,Diptera,Directed,400,,1
Euderma maculatum,Hemiptera,Directed,401,,1
Urocyon cinereoargenteus,Orthoptera,Directed,402,,1
Urocyon cinereoargenteus,Coleoptera,Directed,403,,1
Urocyon cinereoargenteus,Lepidoptera,Directed,404,,1
Urocyon cinereoargenteus,Hymenoptera,Directed,405,,1
Equus caballus,Coleoptera,Directed,406,,1
Chaetodipus penicillatus,Hymenoptera,Directed,407,,1
Chaetodipus penicillatus,Coleoptera,Directed,408,,1
Chaetodipus penicillatus,Lepidoptera,Directed,409,,1
Chaetodipus spinatus,Hymenoptera,Directed,410,,1
Chaetodipus spinatus,Coleoptera,Directed,411,,1
Chaetodipus spinatus,Lepidoptera,Directed,412,,1
Tamias panamintinus,Diptera,Directed,413,,1
Tamias panamintinus,Lepidoptera,Directed,414,,1
Tamias panamintinus,Coleoptera,Directed,415,,1
Tamias panamintinus,Hymenoptera,Directed,416,,1
Otospermophilus variegatus,Hymenoptera,Directed,417,,1
Otospermophilus variegatus,Orthoptera,Directed,418,,1
Otospermophilus variegatus,Coleoptera,Directed,419,,1
Peromyscus eremicus,Coleoptera,Directed,420,,1
Peromyscus eremicus,Orthoptera,Directed,421,,1
Peromyscus maniculatus,Coleoptera,Directed,422,,1
Peromyscus maniculatus,Orthoptera,Directed,423,,1
Lasionycteris noctivagans,Diptera,Directed,424,,1
Lasionycteris noctivagans,Lepidoptera,Directed,425,,1
Lasionycteris noctivagans,Hemiptera,Directed,426,,1
Lasionycteris noctivagans,Coleoptera,Directed,427,,1
Lasionycteris noctivagans,Hymenoptera,Directed,428,,1
Lasionycteris noctivagans,Ephemeroptera,Directed,429,,1
Lasionycteris noctivagans,Neuroptera,Directed,430,,1
Lasionycteris noctivagans,Orthoptera,Directed,431,,1
Lasionycteris noctivagans,Trichoptera,Directed,432,,1
Lasionycteris noctivagans,Diplopoda,Directed,433,,1
Macrotus californicus,Diptera,Directed,434,,1
Macrotus californicus,Lepidoptera,Directed,435,,1
Macrotus californicus,Hemiptera,Directed,436,,1
Macrotus californicus,Coleoptera,Directed,437,,1
Macrotus californicus,Hymenoptera,Directed,438,,1
Macrotus californicus,Ephemeroptera,Directed,439,,1
Macrotus californicus,Neuroptera,Directed,440,,1
Macrotus californicus,Orthoptera,Directed,441,,1
Macrotus californicus,Trichoptera,Directed,442,,1
Macrotus californicus,Diplopoda,Directed,443,,1
Myotis californicus,Diptera,Directed,444,,1
Myotis californicus,Lepidoptera,Directed,445,,1
Myotis californicus,Hemiptera,Directed,446,,1
Myotis californicus,Coleoptera,Directed,447,,1
Myotis californicus,Hymenoptera,Directed,448,,1
Myotis californicus,Ephemeroptera,Directed,449,,1
Myotis californicus,Neuroptera,Directed,450,,1
Myotis californicus,Orthoptera,Directed,451,,1
Myotis californicus,Trichoptera,Directed,452,,1
Myotis californicus,Diplopoda,Directed,453,,1
Tadarida brasiliensis,Diptera,Directed,454,,1
Tadarida brasiliensis,Lepidoptera,Directed,455,,1
Tadarida brasiliensis,Hemiptera,Directed,456,,1
Tadarida brasiliensis,Coleoptera,Directed,457,,1
Tadarida brasiliensis,Hymenoptera,Directed,458,,1
Tadarida brasiliensis,Ephemeroptera,Directed,459,,1
Tadarida brasiliensis,Neuroptera,Directed,460,,1
Tadarida brasiliensis,Orthoptera,Directed,461,,1
Tadarida brasiliensis,Trichoptera,Directed,462,,1
Tadarida brasiliensis,Diplopoda,Directed,463,,1
